,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type,TransactionArbitrage,Profit
0,1.959,0.1547,0.0028,1.8,2016-Feb-16 09:30:08.574847,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,1.0878759228596935
1,1.959,0.1547,0.0028,1.8,2016-Feb-16 09:30:12.638292,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,1.0878759228596935
2,1.959,0.1547,0.0028,1.8,2016-Feb-16 09:30:15.190523,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,1.0878759228596935
3,1.959,0.1547,0.0028,1.8,2016-Feb-16 09:30:15.690387,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,1.0878759228596935
4,1.959,0.1547,0.0028,1.8,2016-Feb-16 09:30:15.690410,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,1.0878759228596935
5,1.959,0.1547,0.0028,1.8,2016-Feb-16 09:30:16.195685,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,1.0878759228596935
6,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:17.202036,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
7,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:17.202064,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
8,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:17.740855,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
9,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:17.740907,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
10,1.959,0.1547,0.0028,1.8,2016-Feb-16 09:30:17.740965,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,1.0878759228596935
11,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:19.675857,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
12,1.959,0.041,0.0401,1.95,2016-Feb-16 09:30:21.181573,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",With Transaction Fee,9.102368116059061
13,1.959,0.041,0.0401,1.95,2016-Feb-16 09:30:21.181573,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,12.402368116059062
14,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:21.660755,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
15,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:22.588168,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
16,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:23.104137,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
17,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:23.604389,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
18,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:24.642962,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
19,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:26.138042,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
20,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:26.138067,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,2.402368116059053
21,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699123,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,5.297631883940915
22,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699123,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,8.597631883940915
23,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699247,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,5.297631883940915
24,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699247,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,8.597631883940915
25,1.959,0.1557,0.0036,1.8,2016-Feb-16 09:30:41.169223,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,0.9121240771403638
26,1.959,0.1557,0.0036,1.8,2016-Feb-16 09:30:41.679295,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,0.9121240771403638
27,1.959,0.1557,0.0036,1.8,2016-Feb-16 09:30:46.265011,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,0.9121240771403638
28,1.958,0.1547,0.0036,1.8,2016-Feb-16 09:30:54.725671,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,0.8683843985313189
29,1.958,0.1547,0.0036,1.8,2016-Feb-16 09:30:55.203189,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,0.8683843985313189
30,1.958,0.071,0.0192,1.9,2016-Feb-16 09:30:56.220398,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,3.6920562697294024
31,1.958,0.071,0.0192,1.9,2016-Feb-16 09:30:56.220398,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,6.992056269729402
32,1.958,0.1547,0.0036,1.8,2016-Feb-16 09:30:57.225568,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,0.8683843985313189
33,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:57.225583,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
34,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:57.732777,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
35,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.231042,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.25389220533186574
36,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.231042,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5538922053318656
37,1.958,0.0422,0.04,1.95,2016-Feb-16 09:30:58.231110,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,7.253892205331858
38,1.958,0.0422,0.04,1.95,2016-Feb-16 09:30:58.231110,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,10.553892205331858
39,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:58.231202,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
40,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.737557,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.25389220533186574
41,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.737557,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5538922053318656
42,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:58.737623,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
43,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:58.737652,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,1.8683843985312087
44,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227368,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,3.2976318839409275
45,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227368,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,6.597631883940927
46,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227393,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,3.2976318839409275
47,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227393,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,6.597631883940927
48,1.958,0.0718,0.0207,1.9,2016-Feb-16 09:31:03.227648,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,0.007943730270520977
49,1.958,0.0718,0.0207,1.9,2016-Feb-16 09:31:03.727330,"Put-Call Parity Short sell call, Short-sell bond, Buy Put, Buy Underlying",Without Transaction Fee,0.007943730270520977
50,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767138,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
51,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767138,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
52,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767171,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
53,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767171,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
54,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:04.767236,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.21015252672060036
55,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:04.767236,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5101525267206
56,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:04.767471,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
57,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:04.767471,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
58,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.263763,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,1.7719884623208477
59,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.263763,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,5.0719884623208475
60,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:05.263793,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,0.21015252672060036
61,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:05.263793,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,3.5101525267206
62,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.264023,"Put Call Parity, Sell Call Buy Put",With Transaction Fee,8.524644719919952
63,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.264023,"Put Call Parity, Sell Call Buy Put",Without Transaction Fee,11.824644719919952
