,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
0,1.959,0.041,0.0401,1.95,2016-Feb-16 09:30:21.181573,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",9.102368116059061
1,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699123,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.297631883940915
2,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699247,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.297631883940915
3,1.958,0.071,0.0192,1.9,2016-Feb-16 09:30:56.220398,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.6920562697294024
4,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.231042,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.25389220533186574
5,1.958,0.0422,0.04,1.95,2016-Feb-16 09:30:58.231110,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",7.253892205331858
6,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.737557,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.25389220533186574
7,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227368,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.2976318839409275
8,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227393,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.2976318839409275
9,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767138,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
10,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767171,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
11,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:04.767236,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.21015252672060036
12,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:04.767471,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",8.524644719919952
13,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.263763,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
14,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:05.263793,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.21015252672060036
15,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.264023,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",8.524644719919952
